RUN_ID,SERIES_LABEL,SAMPLE_MODE,SAMPLE_FACTOR_M,SAMPLE_CAP,THREAD_COUNT,SEED,FULL_MATERIAL,ITERATION,TRUE_KEY,K4,K3,K2,K1,PREFIX_ALPHA,PREFIX_BETA,PREFIX_DELTA_ABS_VALUE,PREFIX_DELTA_ABS_NUMERATOR,PREFIX_DELTA_ABS_DENOMINATOR,PREFIX_DELTA_ABS_FRACTION,PREFIX_DELTA_SIGNED_VALUE,PREFIX_DELTA_SIGNED_NUMERATOR,PREFIX_DELTA_SIGNED_DENOMINATOR,PREFIX_DELTA_SIGNED_FRACTION,PREFIX_MAX_PAIR_COUNT_TOL_2_NEG_15,PREFIX_MAX_SIGNED_VALUE_MIN_TOL,PREFIX_MAX_SIGNED_VALUE_MAX_TOL,SAMPLE_COUNT,TRUE_KEY_LAST_ROUND_K1,TRUE_KEY_LAST_ROUND_K2,TRUE_DELTA_SIGNED_VALUE,TRUE_DELTA_SIGNED_NUMERATOR,TRUE_DELTA_SIGNED_DENOMINATOR,TRUE_DELTA_SIGNED_FRACTION,TRUE_RANK,FALSE_DELTA_SIGNED_MEAN_VALUE,FALSE_DELTA_SIGNED_MEAN_NUMERATOR,FALSE_DELTA_SIGNED_MEAN_DENOMINATOR,FALSE_DELTA_SIGNED_MEAN_FRACTION,BEST_GUESS_K1,BEST_GUESS_K2,BEST_DELTA_SIGNED_VALUE,BEST_DELTA_SIGNED_NUMERATOR,BEST_DELTA_SIGNED_DENOMINATOR,BEST_DELTA_SIGNED_FRACTION,BEST_TIE_COUNT,TRUE_IN_BEST_TIES,MAX_ABS_DELTA_SIGNED_MIN_VALUE,MAX_ABS_DELTA_SIGNED_MAX_VALUE,MAX_ABS_DELTA_SIGNED_MIN_NUMERATOR,MAX_ABS_DELTA_SIGNED_MAX_NUMERATOR,MAX_ABS_DELTA_SIGNED_MIN_FRACTION,MAX_ABS_DELTA_SIGNED_MAX_FRACTION,MIN_ABS_DELTA_VALUE,MIN_ABS_DELTA_NUMERATOR,MIN_ABS_DELTA_DENOMINATOR,MIN_ABS_DELTA_FRACTION,DELTA_TIME_SEC,RECOVERY_TIME_SEC,TOTAL_TIME_SEC
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,21,0x65E98746,0x65,0xE9,0x87,0x46,0x0E61,0x0899,0.0285034180,1868,65536,1868/2^16,-0.0285034180,-1868,65536,-1868/2^16,1,-0.0285034180,-0.0285034180,12309,0x46,0x87,0.0332277196,409,12309,409/12309,16,-0.0000005070,-409,806670315,-409/806670315,0xDA,0x74,-0.0376147534,-463,12309,-463/12309,1,0,-0.0376147534,-0.0376147534,-463,-463,-463/12309,-463/12309,0.0000812414,1,12309,1/12309,0.0000,0.0245,0.0248
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,22,0x5C2A449C,0x5C,0x2A,0x44,0x9C,0xE000,0x4001,0.0321044922,2104,65536,2104/2^16,0.0321044922,2104,65536,2104/2^16,1,0.0321044922,0.0321044922,9703,0x9C,0x44,-0.0209213645,-203,9703,-203/9703,2561,0.0000003192,203,635886105,203/635886105,0xB3,0x00,0.0386478409,375,9703,375/9703,32,0,0.0386478409,0.0386478409,375,375,375/9703,375/9703,0.0001030609,1,9703,1/9703,0.0000,0.0196,0.0199
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,23,0xD1548FCD,0xD1,0x54,0x8F,0xCD,0x0F01,0x0AE1,0.0380859375,2496,65536,2496/2^16,0.0380859375,2496,65536,2496/2^16,1,0.0380859375,0.0380859375,6894,0xCD,0x8F,-0.0359733101,-248,6894,-248/6894,161,0.0000005489,248,451798290,248/451798290,0x4F,0x09,-0.0394545982,-272,6894,-272/6894,16,0,-0.0394545982,-0.0394545982,-272,-272,-272/6894,-272/6894,0.0000000000,0,6894,0/6894,0.0000,0.0136,0.0138
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,24,0x3EF306AC,0x3E,0xF3,0x06,0xAC,0x8100,0xC10C,0.0391235352,2564,65536,2564/2^16,-0.0391235352,-2564,65536,-2564/2^16,1,-0.0391235352,-0.0391235352,6534,0xAC,0x06,0.0468319559,306,6534,306/6534,23,-0.0000007146,-306,428205690,-306/428205690,0x60,0x7A,-0.0599938782,-392,6534,-392/6534,1,0,-0.0599938782,-0.0599938782,-392,-392,-392/6534,-392/6534,0.0000000000,0,6534,0/6534,0.0000,0.0136,0.0138
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,25,0xD1AAB99F,0xD1,0xAA,0xB9,0x9F,0x8100,0x810E,0.0435791016,2856,65536,2856/2^16,0.0435791016,2856,65536,2856/2^16,1,0.0435791016,0.0435791016,5266,0x9F,0xB9,-0.0372199013,-196,5266,-196/5266,283,0.0000005679,196,345107310,196/345107310,0x34,0x9B,0.0569692366,300,5266,300/5266,1,0,0.0569692366,0.0569692366,300,300,300/5266,300/5266,0.0000000000,0,5266,0/5266,0.0000,0.0116,0.0118
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,26,0xC177B6F7,0xC1,0x77,0xB6,0xF7,0xE100,0x6108,0.0341796875,2240,65536,2240/2^16,0.0341796875,2240,65536,2240/2^16,1,0.0341796875,0.0341796875,8560,0xF7,0xB6,-0.0397196262,-340,8560,-340/8560,16,0.0000006061,340,560979600,340/560979600,0xAD,0x16,0.0457943925,392,8560,392/8560,1,0,0.0457943925,0.0457943925,392,392,392/8560,392/8560,0.0000000000,0,8560,0/8560,0.0000,0.0177,0.0180
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,27,0x864A7135,0x86,0x4A,0x71,0x35,0x0301,0x06C1,0.0307617188,2016,65536,2016/2^16,-0.0307617188,-2016,65536,-2016/2^16,1,-0.0307617188,-0.0307617188,10568,0x35,0x71,0.0240348221,254,10568,254/10568,1089,-0.0000003667,-254,692573880,-254/692573880,0xFC,0x0F,0.0380393641,402,10568,402/10568,16,0,0.0380393641,0.0380393641,402,402,402/10568,402/10568,0.0000000000,0,10568,0/10568,0.0000,0.0212,0.0214
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,28,0x0D2DF7AB,0x0D,0x2D,0xF7,0xAB,0x6000,0x6003,0.0285034180,1868,65536,1868/2^16,0.0285034180,1868,65536,1868/2^16,1,0.0285034180,0.0285034180,12309,0xAB,0xF7,-0.0363148915,-447,12309,-447/12309,5,0.0000005541,447,806670315,447/806670315,0x4C,0x50,-0.0411893736,-507,12309,-507/12309,1,0,-0.0411893736,-0.0411893736,-507,-507,-507/12309,-507/12309,0.0000812414,1,12309,1/12309,0.0000,0.0246,0.0249
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,29,0x445BCD27,0x44,0x5B,0xCD,0x27,0x0100,0x0081,0.0330200195,2164,65536,2164/2^16,-0.0330200195,-2164,65536,-2164/2^16,1,-0.0330200195,-0.0330200195,9172,0x27,0xCD,0.0313999128,288,9172,288/9172,513,-0.0000004791,-288,601087020,-288/601087020,0x46,0x03,-0.0399040558,-366,9172,-366/9172,16,0,-0.0399040558,-0.0399040558,-366,-366,-366/9172,-366/9172,0.0000000000,0,9172,0/9172,0.0000,0.0122,0.0124
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,30,0x1909778A,0x19,0x09,0x77,0x8A,0x0701,0x0105,0.0261230469,1712,65536,1712/2^16,-0.0261230469,-1712,65536,-1712/2^16,1,-0.0261230469,-0.0261230469,14654,0x8A,0x77,0.0278422274,408,14654,408/14654,45,-0.0000004248,-408,960349890,-408/960349890,0x8C,0x1F,-0.0346663027,-508,14654,-508/14654,1,0,-0.0346663027,-0.0346663027,-508,-508,-508/14654,-508/14654,0.0000000000,0,14654,0/14654,0.0000,0.0288,0.0292
